location,name,freq,weighting,n_factors,date,ret
usa,momentum,daily,vw_cap,4,1926-12-07,-0.00160193315159049
usa,momentum,daily,vw_cap,4,1926-12-08,-0.000473876802344659
usa,momentum,daily,vw_cap,4,1926-12-09,-0.00113417747291253
usa,momentum,daily,vw_cap,4,1926-12-10,-0.000781788020197706
usa,momentum,daily,vw_cap,4,1926-12-11,-0.000345684563030795
usa,momentum,daily,vw_cap,4,1926-12-13,-0.00331349471285509
usa,momentum,daily,vw_cap,4,1926-12-14,-0.00163442644830931
usa,momentum,daily,vw_cap,4,1926-12-15,0.0000469661774855994
usa,momentum,daily,vw_cap,4,1926-12-16,-0.000378599235774998
usa,momentum,daily,vw_cap,4,1926-12-17,0.000679540184566057
usa,momentum,daily,vw_cap,4,1926-12-18,-0.00157086377819736
usa,momentum,daily,vw_cap,4,1926-12-20,0.00217779231868183
usa,momentum,daily,vw_cap,4,1926-12-21,0.00340834510905123
usa,momentum,daily,vw_cap,4,1926-12-22,-0.00136818790714898
usa,momentum,daily,vw_cap,4,1926-12-23,0.00105254455093589
usa,momentum,daily,vw_cap,4,1926-12-24,-0.00173231192965708
usa,momentum,daily,vw_cap,4,1926-12-27,0.000360395831681793
usa,momentum,daily,vw_cap,4,1926-12-28,0.00527204510056163
usa,momentum,daily,vw_cap,4,1926-12-29,-0.00284376733217895
usa,momentum,daily,vw_cap,4,1926-12-30,0.00240077268751514
usa,momentum,daily,vw_cap,4,1926-12-31,-0.00454741122906129
usa,momentum,daily,vw_cap,6,1927-01-03,0.00088899685177684
usa,momentum,daily,vw_cap,6,1927-01-04,-0.0019839037081682
usa,momentum,daily,vw_cap,6,1927-01-05,-0.00363069123724664
usa,momentum,daily,vw_cap,6,1927-01-06,0.00297534953788345
usa,momentum,daily,vw_cap,6,1927-01-07,0.00109520057463385
usa,momentum,daily,vw_cap,6,1927-01-08,-0.00289532461106766
usa,momentum,daily,vw_cap,6,1927-01-10,0.000390029446688506
usa,momentum,daily,vw_cap,6,1927-01-11,0.000707530788968829
usa,momentum,daily,vw_cap,6,1927-01-12,0.00233222147781012
usa,momentum,daily,vw_cap,6,1927-01-13,-0.00118228944506092
usa,momentum,daily,vw_cap,6,1927-01-14,0.00194011513225815
usa,momentum,daily,vw_cap,6,1927-01-15,0.00140204388784376
usa,momentum,daily,vw_cap,6,1927-01-17,0.000590229154807771
usa,momentum,daily,vw_cap,6,1927-01-18,0.000182619673655438
usa,momentum,daily,vw_cap,6,1927-01-19,-0.00316986559862933
usa,momentum,daily,vw_cap,6,1927-01-20,0.00277485934570493
usa,momentum,daily,vw_cap,6,1927-01-21,-0.00171805206460579
usa,momentum,daily,vw_cap,6,1927-01-22,0.00400834887841004
usa,momentum,daily,vw_cap,6,1927-01-24,0.00361950998902114
usa,momentum,daily,vw_cap,6,1927-01-25,0.000450048034364815
usa,momentum,daily,vw_cap,6,1927-01-26,0.00419822892533993
usa,momentum,daily,vw_cap,6,1927-01-27,-0.00047888488538476
usa,momentum,daily,vw_cap,6,1927-01-28,0.00263863851080843
usa,momentum,daily,vw_cap,6,1927-01-29,-0.00216425915418232
usa,momentum,daily,vw_cap,6,1927-01-31,-0.00405388038373067
usa,momentum,daily,vw_cap,6,1927-02-01,-0.00107356641432036
usa,momentum,daily,vw_cap,6,1927-02-02,-0.000486010706338245
usa,momentum,daily,vw_cap,6,1927-02-03,0.00159422477402235
usa,momentum,daily,vw_cap,6,1927-02-04,0.00094078803377107
usa,momentum,daily,vw_cap,6,1927-02-05,-0.00058068777507682
usa,momentum,daily,vw_cap,6,1927-02-07,-0.00140625753596167
usa,momentum,daily,vw_cap,6,1927-02-08,0.00112963416803093
usa,momentum,daily,vw_cap,6,1927-02-09,0.00302283356659286
usa,momentum,daily,vw_cap,6,1927-02-10,-0.00174775537000772
usa,momentum,daily,vw_cap,6,1927-02-11,0.0000579387087372816
usa,momentum,daily,vw_cap,6,1927-02-14,-0.00189441307530018
usa,momentum,daily,vw_cap,6,1927-02-15,-0.00147235533780971
usa,momentum,daily,vw_cap,6,1927-02-16,0.00168872571626
usa,momentum,daily,vw_cap,6,1927-02-17,0.00201585543635561
usa,momentum,daily,vw_cap,6,1927-02-18,0.00135767866950181
usa,momentum,daily,vw_cap,6,1927-02-19,-0.00158988807118286
usa,momentum,daily,vw_cap,6,1927-02-21,-0.000981297816018456
usa,momentum,daily,vw_cap,6,1927-02-23,-0.00127249611212829
usa,momentum,daily,vw_cap,6,1927-02-24,0.00056837812177945
usa,momentum,daily,vw_cap,6,1927-02-25,-0.00273839356350324
usa,momentum,daily,vw_cap,6,1927-02-26,-0.000362133164900764
