Dates,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,,,,RX = Mean,HML = P5 - P1
10/31/2006,0.00553329490217935,0.00126140820627796,0.0040260068180612,0.00617084528968964,0.0319581870967405,,,,0.98%,2.64%
11/30/2006,0.0207930321628451,0.0446661236165319,0.0474104376076324,0.00611391306258202,0.0206803870717199,,,,2.79%,-0.01%
12/29/2006,-0.0263467437836497,-0.0101906841432269,-0.00697115719966424,-0.0139766761356223,0.0133938757030047,,,,-0.88%,3.97%
1/31/2007,-0.02154522695809,-0.0191791449276335,-0.011336694269002,-0.00606550817175833,-0.0221460077751195,,,,-1.61%,-0.06%
2/28/2007,0.0193719331563903,0.00325636480412506,0.0159952441304028,0.00299903338547125,0.0209032552290299,,,,1.25%,0.15%
3/30/2007,0.00440590973785004,0.00518337133029756,0.00874364179014942,0.00905640077529168,0.0242197484730003,,,,1.03%,1.98%
4/30/2007,-0.00880403771763089,0.0296137279368629,0.0287532297728055,0.0177682288959312,0.0325011411603382,,,,2.00%,4.13%
5/31/2007,-0.0199035460112067,-0.025868225163633,-0.0176658144166366,0.0118375257057394,-0.00620743150454522,,,,-1.16%,1.37%
6/29/2007,-0.00709432380770197,0.0064478014605065,0.00531717574162749,0.0191756382109596,0.0391895950323536,,,,1.26%,4.63%
7/31/2007,0.0228956353107984,0.013663143085254,0.00338357067341033,0.0128463402866293,0.00492849897634751,,,,1.15%,-1.80%
8/31/2007,0.00900251590150614,-0.0168052939269544,-0.000751486997997208,-0.00591523610982536,-0.0699075544814794,,,,-1.69%,-7.89%
9/28/2007,0.0202583645521903,0.0520300643245419,0.0587504910561257,0.0355264621017389,0.0849255739228774,,,,5.03%,6.47%
10/31/2007,-0.00131641700793916,0.0135441361503392,0.0304701114778629,0.0106891498655055,0.0303190545473793,,,,1.67%,3.16%
11/30/2007,0.0310247765559006,0.00537977996247524,-0.0188471074067215,-0.0184088890517072,-0.025869123391657,,,,-0.53%,-5.69%
12/31/2007,-0.00902856498882992,-0.00880441179898783,-0.00411548637460002,-0.010183105741591,-0.000115394225699894,,,,-0.64%,0.89%
